title,authors,average_rating,categories,published_year,ratings_count,weighted_rating,context_string
Sometimes a Great Notion,Ken Kesey,4.21,Fiction,1964.0,557.0,3.914243668489013,Title: Sometimes a Great Notion. Author(s): Ken Kesey. Category: Fiction. Published: 1964. 
The Book of Imaginary Beings,Jorge Luis Borges;Margarita Guerrero;Andrew Hurley;Peter Sís,4.09,Fiction,2006.0,4809.0,3.9347199483118587,Title: The Book of Imaginary Beings. Author(s): Jorge Luis Borges;Margarita Guerrero;Andrew Hurley;Peter Sís. Category: Fiction. Published: 2006. 
Gravity's Rainbow,Thomas Pynchon,4.02,Fiction,1973.0,28034.0,3.9638392347199662,Title: Gravity's Rainbow. Author(s): Thomas Pynchon. Category: Fiction. Published: 1973. 
Life is a Dream,Pedro Calderón de la Barca,3.98,Drama,2006.0,154.0,3.9088334561674256,Title: Life is a Dream. Author(s): Pedro Calderón de la Barca. Category: Drama. Published: 2006. 
Black Lamb and Grey Falcon,Rebecca West,4.23,History,2007.0,1550.0,3.92507614118782,Title: Black Lamb and Grey Falcon. Author(s): Rebecca West. Category: History. Published: 2007. 
Mrs. Dalloway,Virginia Woolf,3.79,Fiction,2002.0,167000.0,3.8072276769838154,Title: Mrs. Dalloway. Author(s): Virginia Woolf. Category: Fiction. Published: 2002. 
Animal Farm and 1984,George Orwell,4.28,Fiction,2003.0,140015.0,4.217301857594699,Title: Animal Farm and 1984. Author(s): George Orwell. Category: Fiction. Published: 2003. 
Janet Flanner's world,Janet Flanner;Irving Drutman,4.3,Fiction,1979.0,19.0,3.9087094341644515,Title: Janet Flanner's world. Author(s): Janet Flanner;Irving Drutman. Category: Fiction. Published: 1979. 
The Stone Fey,Robin McKinley,3.35,Juvenile Fiction,1998.0,1025.0,3.889010174076656,Title: The Stone Fey. Author(s): Robin McKinley. Category: Juvenile Fiction. Published: 1998. 
How I Became a Pirate,Melinda Long;David Shannon,4.08,Juvenile Fiction,2003.0,23328.0,3.9857784950799204,Title: How I Became a Pirate. Author(s): Melinda Long;David Shannon. Category: Juvenile Fiction. Published: 2003. 
The Little Red Lighthouse and the Great Gray Bridge,Hildegarde Hoyt Swift;Lynd Ward,4.26,Juvenile Fiction,2003.0,2216.0,3.9338739404256935,Title: The Little Red Lighthouse and the Great Gray Bridge. Author(s): Hildegarde Hoyt Swift;Lynd Ward. Category: Juvenile Fiction. Published: 2003. 
The Secret School,Avi,3.78,Juvenile Fiction,2003.0,3540.0,3.8942220542958195,Title: The Secret School. Author(s): Avi. Category: Juvenile Fiction. Published: 2003. 
Winter is the Warmest Season,Lauren Stringer,3.91,Juvenile Fiction,2006.0,360.0,3.9084672835828638,Title: Winter is the Warmest Season. Author(s): Lauren Stringer. Category: Juvenile Fiction. Published: 2006. 
Doomed Queen Anne,Carolyn Meyer,3.87,Juvenile Fiction,2004.0,3478.0,3.9042561520898453,Title: Doomed Queen Anne. Author(s): Carolyn Meyer. Category: Juvenile Fiction. Published: 2004. 
Gifts,Ursula K. Le Guin,3.69,Juvenile Fiction,2006.0,6442.0,3.868085758668451,Title: Gifts. Author(s): Ursula K. Le Guin. Category: Juvenile Fiction. Published: 2006. 
The Hundred Dresses,Eleanor Estes,4.09,Juvenile Fiction,2004.0,29372.0,4.000713849376923,Title: The Hundred Dresses. Author(s): Eleanor Estes. Category: Juvenile Fiction. Published: 2004. 
"Patience, Princess Catherine",Carolyn Meyer,3.79,Juvenile Fiction,2005.0,2185.0,3.8999923945805395,"Title: Patience, Princess Catherine. Author(s): Carolyn Meyer. Category: Juvenile Fiction. Published: 2005. "
Voices,Ursula K. Le Guin,3.87,Juvenile Fiction,2006.0,3353.0,3.9043909067823606,Title: Voices. Author(s): Ursula K. Le Guin. Category: Juvenile Fiction. Published: 2006. 
Apple Pie Fourth of July,Janet S. Wong;Margaret Chodos-Irvine,3.71,Juvenile Fiction,2006.0,298.0,3.906388867195854,Title: Apple Pie Fourth of July. Author(s): Janet S. Wong;Margaret Chodos-Irvine. Category: Juvenile Fiction. Published: 2006. 
Beauty Shop for Rent,Laura Bowers,3.87,Juvenile Fiction,2007.0,758.0,3.9074491700288196,Title: Beauty Shop for Rent. Author(s): Laura Bowers. Category: Juvenile Fiction. Published: 2007. 
Frankenstein Makes a Sandwich,Adam Rex,4.21,Juvenile Nonfiction,2006.0,1860.0,3.9269691385471575,Title: Frankenstein Makes a Sandwich. Author(s): Adam Rex. Category: Juvenile Nonfiction. Published: 2006. 
The Sleeping Giant and Other Stories,Eleanor Estes,4.0,Folklore,1948.0,10.0,3.908480069575886,Title: The Sleeping Giant and Other Stories. Author(s): Eleanor Estes. Category: Folklore. Published: 1948. 
The Metamorphoses of Ovid,Allen Mandelbaum,4.05,Literary Criticism,1995.0,685.0,3.911778978242672,Title: The Metamorphoses of Ovid. Author(s): Allen Mandelbaum. Category: Literary Criticism. Published: 1995. 
Winterdance,Gary Paulsen,4.25,Pets,1994.0,5128.0,3.9606507391727024,Title: Winterdance. Author(s): Gary Paulsen. Category: Pets. Published: 1994. 
This Is the Way the World Ends,James Morrow,3.75,Fiction,1986.0,1275.0,3.9016454492591857,Title: This Is the Way the World Ends. Author(s): James Morrow. Category: Fiction. Published: 1986. 
The Double Flame,Octavio Paz,4.21,Literary Collections,1996.0,577.0,3.914447635559475,Title: The Double Flame. Author(s): Octavio Paz. Category: Literary Collections. Published: 1996. 
All the King's Men,Robert Penn Warren,4.09,Fiction,1982.0,45975.0,4.02063925044462,Title: All the King's Men. Author(s): Robert Penn Warren. Category: Fiction. Published: 1982. 
Baltasar and Blimunda,José Saramago;Giovanni Pontiero,3.91,Fiction,1998.0,5950.0,3.9087165427417423,Title: Baltasar and Blimunda. Author(s): José Saramago;Giovanni Pontiero. Category: Fiction. Published: 1998. 
The History of the Siege of Lisbon,José Saramago,3.8,Fiction,1998.0,324.0,3.907225599890042,Title: The History of the Siege of Lisbon. Author(s): José Saramago. Category: Fiction. Published: 1998. 
Slammerkin,Emma Donoghue,3.7,Fiction,2000.0,12262.0,3.845624651847567,Title: Slammerkin. Author(s): Emma Donoghue. Category: Fiction. Published: 2000. 
Blindness,José Saramago;Giovanni Pontiero,4.11,Fiction,1999.0,106162.0,4.067433742517977,Title: Blindness. Author(s): José Saramago;Giovanni Pontiero. Category: Fiction. Published: 1999. 
All the Names,José Saramago;Margaret Jull Costa,3.89,Fiction,2001.0,10634.0,3.9034251437699137,Title: All the Names. Author(s): José Saramago;Margaret Jull Costa. Category: Fiction. Published: 2001. 
"Poems, New and Collected, 1957-1997",Wislawa Szymborska;Stanisław Barańczak;Clare Cavanagh,4.42,Poetry,2000.0,2454.0,3.9491037849779773,"Title: Poems, New and Collected, 1957-1997. Author(s): Wislawa Szymborska;Stanisław Barańczak;Clare Cavanagh. Category: Poetry. Published: 2000. "
The Last Life,Claire Messud,3.56,Fiction,2000.0,1384.0,3.892268940272516,Title: The Last Life. Author(s): Claire Messud. Category: Fiction. Published: 2000. 
The Tale of the Unknown Island,José Saramago,3.89,Fiction,2000.0,3138.0,3.9066136866640577,Title: The Tale of the Unknown Island. Author(s): José Saramago. Category: Fiction. Published: 2000. 
Tales from Margaritaville,Jimmy Buffett,3.9,Fiction,2002.0,2366.0,3.907798697287995,Title: Tales from Margaritaville. Author(s): Jimmy Buffett. Category: Fiction. Published: 2002. 
The Cyberiad,Stanislaw Lem,4.18,Fiction,2002.0,7512.0,3.965213611377054,Title: The Cyberiad. Author(s): Stanislaw Lem. Category: Fiction. Published: 2002. 
Four Comedies,Aristophanes;Dudley Fitts,4.03,Drama,2002.0,14.0,3.90850771203693,Title: Four Comedies. Author(s): Aristophanes;Dudley Fitts. Category: Drama. Published: 2002. 
The Common Reader,Virginia Woolf,4.17,Literary Collections,1984.0,1090.0,3.918107612483787,Title: The Common Reader. Author(s): Virginia Woolf. Category: Literary Collections. Published: 1984. 
A Writer's Diary,Virginia Woolf;Leonard Woolf,4.25,Biography & Autobiography,2003.0,3219.0,3.9431941701729007,Title: A Writer's Diary. Author(s): Virginia Woolf;Leonard Woolf. Category: Biography & Autobiography. Published: 2003. 
Women and Writing,Virginia Woolf,4.07,Literary Criticism,2003.0,236.0,3.9097781952964468,Title: Women and Writing. Author(s): Virginia Woolf. Category: Literary Criticism. Published: 2003. 
The Cave,José Saramago,3.83,Fiction,2003.0,7390.0,3.8922603609341477,Title: The Cave. Author(s): José Saramago. Category: Fiction. Published: 2003. 
"Gun, with Occasional Music",Jonathan Lethem,3.77,Fiction,2003.0,7863.0,3.8784472201783315,"Title: Gun, with Occasional Music. Author(s): Jonathan Lethem. Category: Fiction. Published: 2003. "
A Drink Before the War,Dennis Lehane,3.95,Fiction,2003.0,28386.0,3.9292102576383314,Title: A Drink Before the War. Author(s): Dennis Lehane. Category: Fiction. Published: 2003. 
Baudolino,Umberto Eco,3.74,Fiction,2003.0,15490.0,3.8490296176173793,Title: Baudolino. Author(s): Umberto Eco. Category: Fiction. Published: 2003. 
Mrs. Dalloway's Party,Virginia Woolf;Stella McNichol,3.87,Fiction,2003.0,398.0,3.9079169370772755,Title: Mrs. Dalloway's Party. Author(s): Virginia Woolf;Stella McNichol. Category: Fiction. Published: 2003. 
The Liberated Bride,Abraham B. Yehoshua;Hillel Halkin,3.76,Fiction,2004.0,449.0,3.9061393306506904,Title: The Liberated Bride. Author(s): Abraham B. Yehoshua;Hillel Halkin. Category: Fiction. Published: 2004. 
Book Club,Yann Martel,3.9,Uncategorized,2012.0,4242.0,3.9073508118767566,Title: Book Club. Author(s): Yann Martel. Category: Uncategorized. Published: 2012. 
The Female of the Species,Joyce Carol Oates,3.6,Fiction,2007.0,994.0,3.8980255634515286,Title: The Female of the Species. Author(s): Joyce Carol Oates. Category: Fiction. Published: 2007. 
Flowers for Algernon,Daniel Keyes,4.11,Fiction,2005.0,332849.0,4.094142722251352,Title: Flowers for Algernon. Author(s): Daniel Keyes. Category: Fiction. Published: 2005. 
A Room of One's Own,Virginia Woolf;Susan Gubar,4.13,Fiction,2005.0,828.0,3.9147192001161994,Title: A Room of One's Own. Author(s): Virginia Woolf;Susan Gubar. Category: Fiction. Published: 2005. 
To the Lighthouse,Virginia Woolf,3.77,Fiction,1927.0,488.0,3.9061109877169216,Title: To the Lighthouse. Author(s): Virginia Woolf. Category: Fiction. Published: 1927. 
Kiffe Kiffe Tomorrow,Faïza Guène;Sarah Adams,3.38,Fiction,2006.0,1026.0,3.890037053735526,Title: Kiffe Kiffe Tomorrow. Author(s): Faïza Guène;Sarah Adams. Category: Fiction. Published: 2006. 
Rose of No Man's Land,Michelle Tea,3.51,Fiction,2007.0,1458.0,3.889006445825128,Title: Rose of No Man's Land. Author(s): Michelle Tea. Category: Fiction. Published: 2007. 
Three Guineas,Virginia Woolf;Jane Marcus;Mark Hussey,3.86,Fiction,2006.0,2270.0,3.9048647986302916,Title: Three Guineas. Author(s): Virginia Woolf;Jane Marcus;Mark Hussey. Category: Fiction. Published: 2006. 
The People of Paper,Salvador Plascencia,4.09,Fiction,2005.0,4021.0,3.9309485523011363,Title: The People of Paper. Author(s): Salvador Plascencia. Category: Fiction. Published: 2005. 
Virginia Woolf,Julia Briggs,4.17,Biography & Autobiography,2006.0,623.0,3.9140577562203576,Title: Virginia Woolf. Author(s): Julia Briggs. Category: Biography & Autobiography. Published: 2006. 
On Literature,Umberto Eco,3.95,Literary Collections,2005.0,1669.0,3.9107524561111444,Title: On Literature. Author(s): Umberto Eco. Category: Literary Collections. Published: 2005. 
The Pirates Laffite,William C. Davis,3.51,Biography & Autobiography,2006.0,211.0,3.905511804342993,Title: The Pirates Laffite. Author(s): William C. Davis. Category: Biography & Autobiography. Published: 2006. 
Foucault's Pendulum,Umberto Eco,3.9,Fiction,2007.0,44658.0,3.9032856131694116,Title: Foucault's Pendulum. Author(s): Umberto Eco. Category: Fiction. Published: 2007. 
Between the Acts,Virginia Woolf,3.64,Fiction,1969.0,4202.0,3.8738730317568213,Title: Between the Acts. Author(s): Virginia Woolf. Category: Fiction. Published: 1969. 
Big Anthony and the Magic Ring,Tomie DePaola,4.1,Juvenile Fiction,1979.0,443.0,3.9113875374234057,Title: Big Anthony and the Magic Ring. Author(s): Tomie DePaola. Category: Juvenile Fiction. Published: 1979. 
The Collected Stories of Eudora Welty,Eudora Welty,4.23,Literary Collections,1980.0,7003.0,3.972011471960995,Title: The Collected Stories of Eudora Welty. Author(s): Eudora Welty. Category: Literary Collections. Published: 1980. 
The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf,4.04,Fiction,1989.0,684.0,3.911539237797914,Title: The Complete Shorter Fiction of Virginia Woolf. Author(s): Virginia Woolf. Category: Fiction. Published: 1989. 
The Diary of Anaïs Nin: 1939-1944,Anaïs Nin,4.17,"Authors, American",1966.0,1373.0,3.920500033906076,"Title: The Diary of Anaïs Nin: 1939-1944. Author(s): Anaïs Nin. Category: Authors, American. Published: 1966. "
The Diary of Anaïs Nin,Anaïs Nin,4.12,Biography & Autobiography,1977.0,307.0,3.910708420706951,Title: The Diary of Anaïs Nin. Author(s): Anaïs Nin. Category: Biography & Autobiography. Published: 1977. 
The Diary of Anaïs Nin,Anaïs Nin,4.16,Biography & Autobiography,1980.0,315.0,3.9112051196405857,Title: The Diary of Anaïs Nin. Author(s): Anaïs Nin. Category: Biography & Autobiography. Published: 1980. 
The Diary of Virginia Woolf: 1915-1919,Virginia Woolf,4.31,Biography & Autobiography,1979.0,1262.0,3.9255188479952774,Title: The Diary of Virginia Woolf: 1915-1919. Author(s): Virginia Woolf. Category: Biography & Autobiography. Published: 1979. 
The Diary of Virginia Woolf,Virginia Woolf,4.37,Biography & Autobiography,1980.0,374.0,3.914442179164751,Title: The Diary of Virginia Woolf. Author(s): Virginia Woolf. Category: Biography & Autobiography. Published: 1980. 
The Diary of Virginia Woolf: 1925-1930,Virginia Woolf,4.43,Biography & Autobiography,1981.0,477.0,3.917056068783788,Title: The Diary of Virginia Woolf: 1925-1930. Author(s): Virginia Woolf. Category: Biography & Autobiography. Published: 1981. 
The Diary of Virginia Woolf: 1931-1935,Virginia Woolf,4.44,Biography & Autobiography,1983.0,213.0,3.912401601118821,Title: The Diary of Virginia Woolf: 1931-1935. Author(s): Virginia Woolf. Category: Biography & Autobiography. Published: 1983. 
Diary Of Virginia Woolf Volume 5,Virginia Woolf,4.49,Biography & Autobiography,1985.0,220.0,3.912914570556533,Title: Diary Of Virginia Woolf Volume 5. Author(s): Virginia Woolf. Category: Biography & Autobiography. Published: 1985. 
Difficult Loves,Italo Calvino,3.93,Fiction,1984.0,3874.0,3.9110329998785964,Title: Difficult Loves. Author(s): Italo Calvino. Category: Fiction. Published: 1984. 
The Early Diary of Anaïs Nin: 1923-1927,Anaïs Nin,4.18,Biography & Autobiography,1985.0,143.0,3.9098072284319687,Title: The Early Diary of Anaïs Nin: 1923-1927. Author(s): Anaïs Nin. Category: Biography & Autobiography. Published: 1985. 
E. M. Forster,Philip Nicholas Furbank,4.11,Biography & Autobiography,1981.0,133.0,3.9093865897059503,Title: E. M. Forster. Author(s): Philip Nicholas Furbank. Category: Biography & Autobiography. Published: 1981. 
Fiasco,Stanislaw Lem,4.12,Fiction,1988.0,2125.0,3.923163805969511,Title: Fiasco. Author(s): Stanislaw Lem. Category: Fiction. Published: 1988. 
Henry and June,Anaïs Nin,3.95,"Authors, American",1986.0,7535.0,3.9171550238686654,"Title: Henry and June. Author(s): Anaïs Nin. Category: Authors, American. Published: 1986. "
Homage to Catalonia,George Orwell,4.15,History,1952.0,27619.0,4.027490386034128,Title: Homage to Catalonia. Author(s): George Orwell. Category: History. Published: 1952. 
Incest,Anaïs Nin,4.0,Biography & Autobiography,1993.0,279.0,3.9093377978942176,Title: Incest. Author(s): Anaïs Nin. Category: Biography & Autobiography. Published: 1993. 
The Inheritors,William Golding,3.53,Fiction,1962.0,2681.0,3.8758280889610153,Title: The Inheritors. Author(s): William Golding. Category: Fiction. Published: 1962. 
Invisible Cities,Italo Calvino,4.17,Fiction,1978.0,39058.0,4.059833334967546,Title: Invisible Cities. Author(s): Italo Calvino. Category: Fiction. Published: 1978. 
The Letters of Virginia Woolf: 1936-1941,Virginia Woolf,4.47,Biography & Autobiography,1980.0,95.0,3.9103185035022654,Title: The Letters of Virginia Woolf: 1936-1941. Author(s): Virginia Woolf. Category: Biography & Autobiography. Published: 1980. 
"Marcovaldo, Or, The Seasons in the City",Italo Calvino,3.88,Fiction,1983.0,5381.0,3.903919525572973,"Title: Marcovaldo, Or, The Seasons in the City. Author(s): Italo Calvino. Category: Fiction. Published: 1983. "
Moments of Being,Virginia Woolf,4.26,Biography & Autobiography,1985.0,1661.0,3.927857534478966,Title: Moments of Being. Author(s): Virginia Woolf. Category: Biography & Autobiography. Published: 1985. 
Mrs. Dalloway,Virginia Woolf,3.79,Fiction,1981.0,7971.0,3.8825057484195096,Title: Mrs. Dalloway. Author(s): Virginia Woolf. Category: Fiction. Published: 1981. 
Mrs. Miniver,Jan Struther,3.96,Fiction,1990.0,1040.0,3.910267559422164,Title: Mrs. Miniver. Author(s): Jan Struther. Category: Fiction. Published: 1990. 
Murder in the Cathedral,Thomas Stearns Eliot,3.76,Drama,1963.0,6500.0,3.8808185116649296,Title: Murder in the Cathedral. Author(s): Thomas Stearns Eliot. Category: Drama. Published: 1963. 
The Nonexistent Knight & The Cloven Viscount,Italo Calvino,4.03,Fiction,1977.0,4585.0,3.9253319521782033,Title: The Nonexistent Knight & The Cloven Viscount. Author(s): Italo Calvino. Category: Fiction. Published: 1977. 
Orlando,Virginia Woolf;Adeline Virginia Stephen Woolf,3.86,Fiction,1973.0,1602.0,3.9058629430508502,Title: Orlando. Author(s): Virginia Woolf;Adeline Virginia Stephen Woolf. Category: Fiction. Published: 1973. 
The Orwell Reader,George Orwell,4.37,Literary Collections,1961.0,265.0,3.9127113122474237,Title: The Orwell Reader. Author(s): George Orwell. Category: Literary Collections. Published: 1961. 
The Philosophy of Andy Warhol,Andy Warhol,3.73,Art,1977.0,32180.0,3.813693245103064,Title: The Philosophy of Andy Warhol. Author(s): Andy Warhol. Category: Art. Published: 1977. 
To the Lighthouse,Virginia Woolf,3.77,Fiction,1981.0,4009.0,3.891334196984466,Title: To the Lighthouse. Author(s): Virginia Woolf. Category: Fiction. Published: 1981. 
Travels in Hyper Reality,Umberto Eco,3.89,Literary Collections,1990.0,1982.0,3.9072453317594573,Title: Travels in Hyper Reality. Author(s): Umberto Eco. Category: Literary Collections. Published: 1990. 
The Uses of Literature,Italo Calvino,4.07,Literary Criticism,1987.0,887.0,3.913336809128466,Title: The Uses of Literature. Author(s): Italo Calvino. Category: Literary Criticism. Published: 1987. 
The Virginia Woolf Reader,Virginia Woolf,4.1,Literary Criticism,1984.0,163.0,3.9095401033456114,Title: The Virginia Woolf Reader. Author(s): Virginia Woolf. Category: Literary Criticism. Published: 1984. 
The Waste Land,Thomas Stearns Eliot;Ezra Pound,4.11,Poetry,1974.0,240.0,3.9101354762616785,Title: The Waste Land. Author(s): Thomas Stearns Eliot;Ezra Pound. Category: Poetry. Published: 1974. 
The Watcher & Other Stories,Italo Calvino,3.72,Fiction,1975.0,432.0,3.9056265797832985,Title: The Watcher & Other Stories. Author(s): Italo Calvino. Category: Fiction. Published: 1975. 
The Waves,Virginia Woolf,4.14,Experimental fiction,1959.0,19210.0,4.00183016980268,Title: The Waves. Author(s): Virginia Woolf. Category: Experimental fiction. Published: 1959. 
More Readings from One Man's Wilderness,Richard Proenneke,4.42,Frontier and pioneer life,2005.0,231.0,3.9125717938703652,Title: More Readings from One Man's Wilderness. Author(s): Richard Proenneke. Category: Frontier and pioneer life. Published: 2005. 
Tales of the Norse Gods,Unknown Author,4.07,Juvenile Fiction,2001.0,40.0,3.9086749021648504,Title: Tales of the Norse Gods. Author(s): Unknown Author. Category: Juvenile Fiction. Published: 2001. 
Party Shoes,Noel Streatfeild,3.64,Children's stories,2002.0,417.0,3.9045664141370784,Title: Party Shoes. Author(s): Noel Streatfeild. Category: Children's stories. Published: 2002. 
Cart And Cwidder,Diana Wynne Jones,3.84,Juvenile Fiction,2003.0,2560.0,3.90279237302165,Title: Cart And Cwidder. Author(s): Diana Wynne Jones. Category: Juvenile Fiction. Published: 2003. 
"Moby Dick, Or, The White Whale",Herman Melville;Geraldine McCaughrean;Victor G. Ambrus,3.85,Juvenile Fiction,1998.0,38.0,3.9083698345927815,"Title: Moby Dick, Or, The White Whale. Author(s): Herman Melville;Geraldine McCaughrean;Victor G. Ambrus. Category: Juvenile Fiction. Published: 1998. "
Typhoon and Other Tales,Joseph Conrad,3.89,Fiction,2002.0,565.0,3.908088311541133,Title: Typhoon and Other Tales. Author(s): Joseph Conrad. Category: Fiction. Published: 2002. 
Hegel: A Very Short Introduction,Peter Singer,3.85,Philosophy,2001.0,1048.0,3.9063694704112804,Title: Hegel: A Very Short Introduction. Author(s): Peter Singer. Category: Philosophy. Published: 2001. 
Emma,Jane Austen,3.99,Literary Criticism,2003.0,725.0,3.9104762940771702,Title: Emma. Author(s): Jane Austen. Category: Literary Criticism. Published: 2003. 
Pride and Prejudice,Jane Austen,4.25,Fiction,2004.0,2369.0,3.9347250363816717,Title: Pride and Prejudice. Author(s): Jane Austen. Category: Fiction. Published: 2004. 
Persuasion,Jane Austen,4.13,Fiction,2004.0,421344.0,4.11599884120165,Title: Persuasion. Author(s): Jane Austen. Category: Fiction. Published: 2004. 
Mansfield Park,Jane Austen,3.85,Literary Criticism,2003.0,1471.0,3.90557185326613,Title: Mansfield Park. Author(s): Jane Austen. Category: Literary Criticism. Published: 2003. 
Phaedrus,Plato;Robin Waterfield,3.91,Philosophy,2002.0,27.0,3.908449343780017,Title: Phaedrus. Author(s): Plato;Robin Waterfield. Category: Philosophy. Published: 2002. 
Egyptian Myth: A Very Short Introduction,Geraldine Pinch,3.62,History,2004.0,178.0,3.906652723652653,Title: Egyptian Myth: A Very Short Introduction. Author(s): Geraldine Pinch. Category: History. Published: 2004. 
The Major Works,John Milton,4.22,Literary Criticism,2003.0,275.0,3.9114332928065325,Title: The Major Works. Author(s): John Milton. Category: Literary Criticism. Published: 2003. 
Gulliver's Travels,Jonathan Swift;Claude Rawson;Ian Higgins,3.56,Fiction,2005.0,253.0,3.905373659534635,Title: Gulliver's Travels. Author(s): Jonathan Swift;Claude Rawson;Ian Higgins. Category: Fiction. Published: 2005. 
A Christmas Carol and Other Christmas Books,Charles Dickens,4.12,Fiction,2006.0,141.0,3.9094921374255716,Title: A Christmas Carol and Other Christmas Books. Author(s): Charles Dickens. Category: Fiction. Published: 2006. 
Candide and Other Stories,Voltaire,3.94,Fiction,2006.0,3336.0,3.9117620991038557,Title: Candide and Other Stories. Author(s): Voltaire. Category: Fiction. Published: 2006. 
The Picture of Dorian Gray,Oscar Wilde,4.07,Fiction,2006.0,1079.0,3.914356364576407,Title: The Picture of Dorian Gray. Author(s): Oscar Wilde. Category: Fiction. Published: 2006. 
Confessions,Jean-Jacques Rousseau,3.62,Literary Criticism,2000.0,4755.0,3.8671086372543284,Title: Confessions. Author(s): Jean-Jacques Rousseau. Category: Literary Criticism. Published: 2000. 
La Débâcle,Emile Zola;Elinor Dorday;Robert Lethbridge,3.99,Fiction,2000.0,763.0,3.910579832054621,Title: La Débâcle. Author(s): Emile Zola;Elinor Dorday;Robert Lethbridge. Category: Fiction. Published: 2000. 
Four Gothic Novels,Horace Walpole;William Beckford;Matthew Lewis;Mary W. Shelley,3.95,Uncategorized,1994.0,143.0,3.9086558757939045,Title: Four Gothic Novels. Author(s): Horace Walpole;William Beckford;Matthew Lewis;Mary W. Shelley. Category: Uncategorized. Published: 1994. 
The Histories,Herodotus,3.98,History,1998.0,265.0,3.9091088108879894,Title: The Histories. Author(s): Herodotus. Category: History. Published: 1998. 
The First Philosophers,Robin Waterfield,3.93,Philosophy,2000.0,303.0,3.90867519808535,Title: The First Philosophers. Author(s): Robin Waterfield. Category: Philosophy. Published: 2000. 
The Antiquary,Sir Walter Scott,3.85,Fiction,2002.0,339.0,3.9077589912621686,Title: The Antiquary. Author(s): Sir Walter Scott. Category: Fiction. Published: 2002. 
Exemplary Stories,Miguel de Cervantes Saavedra;Lesley Lipson,3.73,Fiction,1998.0,777.0,3.903699511317619,Title: Exemplary Stories. Author(s): Miguel de Cervantes Saavedra;Lesley Lipson. Category: Fiction. Published: 1998. 
Orestes and Other Plays,Euripides;James Morwood,4.07,Literary Criticism,2001.0,146.0,3.9092734607754798,Title: Orestes and Other Plays. Author(s): Euripides;James Morwood. Category: Literary Criticism. Published: 2001. 
Jane Austen's Letters,Jane Austen,4.15,Fiction,1997.0,2211.0,3.9258815974942873,Title: Jane Austen's Letters. Author(s): Jane Austen. Category: Fiction. Published: 1997. 
Agricola and Germany,Tacitus,3.98,Literary Collections,1999.0,25.0,3.9085107496477476,Title: Agricola and Germany. Author(s): Tacitus. Category: Literary Collections. Published: 1999. 
Miss Or Mrs?,Wilkie Collins,3.79,Fiction,1999.0,170.0,3.9077436474948413,Title: Miss Or Mrs?. Author(s): Wilkie Collins. Category: Fiction. Published: 1999. 
Great Expectations,Charles Dickens,3.76,Fiction,1998.0,523790.0,3.7676408743617573,Title: Great Expectations. Author(s): Charles Dickens. Category: Fiction. Published: 1998. 
The Canterbury Tales,Geoffrey Chaucer;David Wright,3.49,Poetry,1998.0,249.0,3.9048139398961714,Title: The Canterbury Tales. Author(s): Geoffrey Chaucer;David Wright. Category: Poetry. Published: 1998. 
Complete Shorter Fiction,Oscar Wilde,4.16,Fiction,1998.0,1167.0,3.9183687010070494,Title: Complete Shorter Fiction. Author(s): Oscar Wilde. Category: Fiction. Published: 1998. 
War and Peace,Leo Tolstoy;graf Leo Tolstoy,4.11,Fiction,1998.0,201919.0,4.085129212903395,Title: War and Peace. Author(s): Leo Tolstoy;graf Leo Tolstoy. Category: Fiction. Published: 1998. 
The Castle of Otranto,Horace Walpole,3.18,Fiction,1998.0,15390.0,3.6525715240150047,Title: The Castle of Otranto. Author(s): Horace Walpole. Category: Fiction. Published: 1998. 
The Bostonians,Henry James,3.59,Fiction,1998.0,84.0,3.9075095312192274,Title: The Bostonians. Author(s): Henry James. Category: Fiction. Published: 1998. 
The Divine Comedy,Dante Alighieri;Charles Hubert Sisson;David H. Higgins,4.07,Poetry,1998.0,173.0,3.909425214722098,Title: The Divine Comedy. Author(s): Dante Alighieri;Charles Hubert Sisson;David H. Higgins. Category: Poetry. Published: 1998. 
Hans Andersen's Fairy Tales,Hans Christian Andersen,3.9,Juvenile Fiction,1998.0,17.0,3.9084428211375015,Title: Hans Andersen's Fairy Tales. Author(s): Hans Christian Andersen. Category: Juvenile Fiction. Published: 1998. 
The Karamazov Brothers,Fyodor Dostoevsky;Ignat Avsey,4.32,Fiction,1998.0,232.0,3.9117798812886577,Title: The Karamazov Brothers. Author(s): Fyodor Dostoevsky;Ignat Avsey. Category: Fiction. Published: 1998. 
Daisy Miller and Other Stories,Henry James,3.51,Fiction,1998.0,537.0,3.9010596266031885,Title: Daisy Miller and Other Stories. Author(s): Henry James. Category: Fiction. Published: 1998. 
Selected Philosophical Writings,Saint Thomas (Aquinas),3.86,Religion,1998.0,234.0,3.9080522730700973,Title: Selected Philosophical Writings. Author(s): Saint Thomas (Aquinas). Category: Religion. Published: 1998. 
The Ladies' Paradise,Émile Zola,3.99,Fiction,1998.0,5279.0,3.9212218480072343,Title: The Ladies' Paradise. Author(s): Émile Zola. Category: Fiction. Published: 1998. 
A Sentimental Education,Gustave Flaubert,3.83,Fiction,2000.0,104.0,3.908161879816562,Title: A Sentimental Education. Author(s): Gustave Flaubert. Category: Fiction. Published: 2000. 
