isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,api_description
9780261102200,0261102206,The Treason of Isengard,"The History of the Lord of the Rings, Part Two",John Ronald Reuel Tolkien;Christopher Tolkien,English fiction,http://books.google.com/books/content?id=Hon4PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fantasy-roman.,2002.0,4.16,465.0,93.0,"The Treason of Isengard is the second volume of The History of The Lord of the Rings and the seventh volume of The History of Middle-earth.

The Treason of Isengard continues the account of the creation of The Lord of the Rings started in the earlier volume, The Return of the Shadow. In this book, following the long halt in the darkness of the Mines of Moria with which The Return of the Shadow ended, is traced the great expansion of the tale into new lands and new peoples south and east of the Misty Mountains; the emergence of Lothlorien, of Ents, of the Riders of Rohan, and of Saruman the White in the fortress of Isengard.

In brief outlines and penciled drafts dashed down on scraps of paper are seen the first entry of Galadriel, the earliest ideas of the history of Gondor, the original meeting of Aragorn and Eowyn, its significance destined to be wholly transformed. Conceptions of what lay ahead are seen dissolving as the story took its own paths, as in the account of the capture of Frodo and his rescue by Sam Gamgee from Minas Morgul, written long before J.R.R. Tolkien actually came to that point in the writing of The Lord of the Rings. 

A chief feature of the book is a full account of the original Map, with re-drawings of successive phases, which was long the basis and accompaniment of the emerging geography of Middle-earth. An appendix to the book describes the Runic alphabets as they were at that time, with illustrations of the forms and an analysis of the Runes used in the Book of Mazarbul found beside Balin's Tomb in Moria."
9780261102255,0261102257,The Lost Road,The History of Middle-Earth 5,John Ronald Reuel Tolkien;Christopher Tolkien,,http://books.google.com/books/content?id=pWsvtQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The fifth volume of the History of Middle-earth, containing the early myths and legends which led to the writing of Tolkien's epic tale of war, The Silmarillion.",2002.0,3.96,455.0,88.0,
9780261102262,0261102265,The Lays of Beleriand,,John Ronald Reuel Tolkien;Christopher Tolkien,Poetry,http://books.google.com/books/content?id=jGG3QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The third volume that contains the early myths and legends which led to the writing of Tolkien's epic tale of war, The Silmarillion. This, the third volume of The History of Middle-earth, gives us a priviledged insight into the creation of the mythology of Middle-earth, through the alliterative verse tales of two of the most crucial stories in Tolkien's world -- those of Turien and Luthien. The first of the poems is the unpublished Lay of The Children of Hurin, narrating on a grand scale the tragedy of Turin Turambar. The second is the moving Lay of Leithian, the chief source of the tale of Beren and Luthien in The Silmarillion, telling of the Quest of the Silmaril and the encounter with Morgoth in his subterranean fortress. Accompanying the poems are commentaries on the evolution of the history of the Elder Days. Also included is the notable criticism of The Lay of The Leithian by CS Lewis, who read the poem in 1929.",2002.0,3.96,393.0,93.0,"This is the third volume of the History of Middle-earth, which comprises here-tofore unpublished manuscripts that were written over a period of many years before Tolkien's Simlarillion was published. Volumes 1 and 2 were the Book of Lost Tales, Part One and The Book of Lost Tales, Part Two. Together, these volumes encompass an extraordinarily extensive body of material ornamenting and buttressing what must be the most fully realized world ever to spring from a single author's imagination.
""I write alliterative verse with pleasure,"" wrote J.R.R. Tolkien in 1955, ""though I have published little beyond the fragments in The Lord of the Rings, except The Homecoming of Beorhtnoth."" The first of the poems in The Lays of Beleriand is the previously unpublished Lay of the Children of Hurin, his early but most sustained work in the ancient English meter, intended to narrate on a grand scale the tragedy of Turin Turambar. It was account of the killing by Turin of his friend Beleg, as well as a unique description of the great redoubt of Nargothrond. The Lay of the Children of Hurin was supplanted by the Lay of Leithian, ""Release from Bondage"", in which another major legend of the Elder Days received poetic form, in this case in rhyme. The chief source of the short prose tale of Beren and Luthien is The Silmarillion. This, too, was not completed, but the whole Quest of the Silmaril is told, and the poem breaks off only after the encounter with Morgoth in his subterranean fortress. Many years later, when The Lord of the rings was finished, J.R.R. Tolkien returned to the Lay of Leithian and started on a new version, which is also given in this book.
Accompanying the poems are commentaries on the evolution of the history of the Elder Days, which was much developed during the years of the composition of the two Lays. Also included is the notable criticism in detail of the Lay of Lethian by C.S. Lewis, Tolkien's friend and colleague, who read the poem in 1929. By assuming that this poem is actually a fragment from a past lost in history, Lewis underlined the remarkable power of its author's imaginative talents and academic competence."
9780261102309,0261102303,The Lord of the Rings,,J. R. R. Tolkien,Fiction,http://books.google.com/books/content?id=9wu1QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This single volume edition of J.R.R Tolkien's trilogy is illustrated with reproductions of 50 original Alan Lee paintings. He has also illustrated Faeries, Merlin Dreams and The Mabinogion.",1991.0,4.49,1200.0,550.0,
9780261102422,0261102427,The Silmarillion,,John Ronald Reuel Tolkien,Fantasy,http://books.google.com/books/content?id=22ePuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Tolkien's Silmarillion is the core work of the Middle-Earth canon. In this often neglected masterpiece the entire cosmology which is the background to The Hobbit and The Lord of the Rings is documented.,1999.0,3.91,384.0,253.0,
9780261102637,026110263X,The Monsters and the Critics,And Other Essays,John Ronald Reuel Tolkien,Beowulf,http://books.google.com/books/content?id=C1MAfDVCsRMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A collection of seven essays by J.R.R. Tolkien arising out of Tolkien's work in medieval literature,1997.0,3.93,240.0,3375.0,
9780261103306,026110330X,"The Hobbit, Or, There and Back Again",,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Bilbo (Fictitious character)",http://books.google.com/books/content?id=0k0IQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The adventures of the well-to-do hobbit, Bilbo Baggins who lived happily in his comfortable house until a wandering wizard granted his wish.",1997.0,4.26,289.0,535.0,
9780261103665,0261103660,The Silmarillion,,John Ronald Reuel Tolkien,"Fantasy fiction, English",http://books.google.com/books/content?id=DQ1hQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"These tales tell of the rebellion of Feanor and his kindred against the gods, and of the war, hopeless, despite great heroism, against the great enemy.",1998.0,3.91,368.0,237.0,"A number-one New York Times bestseller when it was originally published, The Silmarillion is the core of J.R.R. Tolkien's imaginative writing, a work whose origins stretch back to a time long before The Hobbit."
9780262240512,0262240513,The Parallax View,,Slavoj Žižek,Philosophy,http://books.google.com/books/content?id=PwJXmwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Seeks to rehabilitate dialectical materialism by discussing the ""parallax gap,"" which separates two points because of the displacement of an object resulting from a change in observational position.",2006.0,4.01,433.0,984.0,
9780262510875,0262510871,Structure and Interpretation of Computer Programs,,Harold Abelson;Gerald Jay Sussman;Julie Sussman,Computers,http://books.google.com/books/content?id=6QOXQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Structure and Interpretation of Computer Programs"" has had a dramatic impact on computer science curricula over the past decade. This long-awaited revision contains changes throughout the text. There are new implementations of most of the major programming systems in the book, including the interpreters and compilers, and the authors have incorporated many small changes that reflect their experience teaching the course at MIT since the first edition was published. A new theme has been introduced that emphasizes the central role played by different approaches to dealing with time in computational models: objects with state, concurrent programming, functional programming and lazy evaluation, and nondeterministic programming. There are new example sections on higher-order procedures in graphics and on applications of stream processing in numerical programming, and many new exercises. In addition, all the programs have been reworked to run in any Scheme implementation that adheres to the IEEE standard.",1996.0,4.45,657.0,3491.0,
9780262532556,0262532557,The Man Who Tasted Shapes,,Richard E. Cytowic,Medical,http://books.google.com/books/content?id=EvA5xS-qKR8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Uncovers the strange medical mystery of synesthesia, a condition in which people can taste shapes or hear and smell colors, and suggests that everyone has synesthetic powers.",2003.0,3.88,296.0,732.0,
9780262540421,0262540428,Elbow Room,The Varieties of Free Will Worth Wanting,Daniel Clement Dennett,Philosophy,http://books.google.com/books/content?id=P4NtNzOKxycC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Essays discuss reason, self-control, self-definition, time, cause and effect, accidents, and responsibility, and explain why people want free will",1984.0,3.92,200.0,474.0,"In Elbow Room, Dennett shows how the classical formulation of the problem in philosophy depend on misuses of imagination, and he disentangles the philosophical problems of real interest from the ""family of anxieties"" they get enmeshed in-imaginary agents, bogeymen, and dire prospects that seem to threaten our freedom."
9780262570213,0262570211,Theory of Colours,,Johann Wolfgang von Goethe;Donald Eastlake,Art,http://books.google.com/books/content?id=1Jjv0oVT0x0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"By closely following Goethe's explanations of the color phenomena, the reader may become so divorced from the wavelength theory--Goethe never even mentions it--that he may begin to think about color theory relatively unhampered by prejudice, ancient or modern. By the time Goethe's Theory of Colours appeared in 1810, the wavelength theory of light and color had been firmly established. To Goethe, the theory was the result of mistaking an incidental result for an elemental principle. Far from pretending to a knowledge of physics, he insisted that such knowledge was an actual hindrance to understanding. He based his conclusions exclusively upon exhaustive personal observation of the phenomena of color. Of his own theory, Goethe was supremely confident: ""From the philosopher, we believe we merit thanks for having traced the phenomena of colours to their first sources, to the circumstances under which they appear and are, and beyond which no further explanation respecting them is possible."" Goethe's scientific conclusions have, of course, long since been thoroughly demolished, but the intelligent reader of today may enjoy this work on quite different grounds: for the beauty and sweep of his conjectures regarding the connection between color and philosophical ideas; for an insight into early nineteenth-century beliefs and modes of thought; and for the flavor of life in Europe just after the American and French Revolutions. The book does not have to be studied to be appreciated. Goethe's subjective theory of colors permits him to speak most persuasively of color harmony and aesthetics. In some readers these notions will evoke a positive response on their merits. Others may regard them as pure fantasy, but savor the grace and style of their exposition. The work may also be read as an accurate guide to the study of color phenomena. Goethe's conclusions have been repudiated, but no one quarrels with his reporting of the facts to be observed. With simple objects--vessels, prisms, lenses, and the like--the reader will be led through a demonstration course not only in subjectively produced colors, but also in the observable physical phenomena of color. By closely following Goethe's explanations of the color phenomena, the reader may become so divorced from the wavelength theory--Goethe never even mentions it--that he may begin to think about color theory relatively unhampered by prejudice, ancient or modern.",1970.0,4.07,423.0,669.0,
9780262571036,026257103X,An Odyssey in Learning and Perception,,Eleanor J. Gibson,Psychology,http://books.google.com/books/content?id=oG2GmyFXJC0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"An Odyssey in Learning and Perception documents a fifty-year intellectual expedition in the areas of learning and perception--always with an eye to combining them in a theory of perceptual learning and development, a theory that may be broadly applicable to humans and nonhumans, young and old. In the field of psychology, beginning in the 1950s, Eleanor J. Gibson nearly single-handedly developed the field of perceptual learning with a series of brilliant studies that culminated in the seminal work, Perceptual Learning and Development. An Odyssey in Learning and Perception brings together Gibson's scientific papers, including difficult-to-find or previously unpublished work, along with classic studies in perception and action. Gibson introduces each paper to show why the research was undertaken and concludes each section with comments linking the findings to later developments. A personal essay touches on the questions and concerns that guided her research.",1994.0,4.5,654.0,0.0,
9780262611336,0262611333,Pop Internationalism,,Paul R. Krugman,Business & Economics,http://books.google.com/books/content?id=17YrneuxiTgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"""Pop internationalists""--people who speak impressively about international trade while ignoring basic economics and misusing economic figures are the target of this collection of Paul Krugman's most recent essays. In the clear, readable, entertaining style that brought acclaim for his best-selling Age of Diminished Expectations, Krugman explains what real economic analysis is. He discusses economic terms and measurements, like ""value-added"" and GDP, in simple language so that readers can understand how pop internationalists distort, and sometimes contradict, the most basic truths about world trade. All but two of the essays have previously appeared in such publications as Foreign Affairs, Scientific American, and the Harvard Business Review. The first five essays take on exaggerations of foreign competition's effects on the U.S. economy and represent Krugman's central criticisms of public debate over world trade. The next three essays expose further distortions of economic theory and include the complete, unaltered, controversial review of Laura Tyson's Who's Bashing Whom. The third group of essays highlights misconceptions about competition from less industrialized countries. The concluding essays focus on interesting and legitimate economic questions, such as the effects of technological change on society.",1997.0,3.67,221.0,307.0,"""Advances in communication technologies over the past half century have made the cultural goods of one country more readily available to consumers in another, raising concerns that cultural products from large economies - in particular the US - will displace the indigenous cultural products of smaller economies.  In this paper we provide stylized facts about the global music consumption and trade since 1960, using a unique data on popular music charts from 22 countries, corresponding to over 98% of the global music market.  We find that trade volumes are higher between countries that are geographically closer and between those that share a language.  Contrary to growing fears about large- country dominance, trade shares are roughly proportional to country GDP shares; and relative to GDP, the US music share is substantially below the shares of other smaller countries.  We find a substantial bias toward domestic music which has, perhaps surprisingly, increased sharply in the past decade.  We find no evidence that new communications channels - such as the growth of country-specific MTV channels and Internet penetration - reduce the consumption of domestic music.  National policies aimed at preventing the death of local culture, such as radio airplay quotas, may explain part of the increasing consumption of local music""--National Bureau of Economic Research web site."
9780262611350,026261135X,"Development, Geography, and Economic Theory",,Paul R. Krugman,Business & Economics,http://books.google.com/books/content?id=Pm_oAg_1UxIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Why do certain ideas gain currency in economics while others fall by the wayside?Paul Krugman argues that the unwillingness of mainstream economists to think about what they couldnot formalize led them to ignore ideas that turn out, in retrospect, to have been very goodones.Krugman examines the course of economic geography and development theory to shed light on thenature of economic inquiry. He traces how development theory lost its huge initial influence andvirtually disappeared from economic discourse after it became clear that many of the theory's maininsights could not be clearly modeled. Economic geography seems to have fared even worse, aseconomists shied away from grappling with questions about space -- such as the size, location, oreven existence of cities -- because the ""terrain was seen as unsuitable for the tools athand.""Krugman's book, however, is not a call to abandon economic modeling. He concludes with areminder of why insisting on the use of models may be right, even when these sometimes leadeconomists to overlook good ideas. He also recaps the discussion of development and economicgeography with a commentary on recent developments in those fields and areas where further inquirylooks most promising.The Ohlin Lectures",1997.0,3.99,127.0,74.0,"Paul Krugman argues that the unwillingness of mainstream economists to think about what they could not formalize led them to ignore ideas that turn out, in retrospect, to have been very good ones.

Krugman examines the course of economic geography and development theory to shed light on the nature of economic inquiry. He traces how development theory lost its huge initial influence and virtually disappeared from economic discourse after it became clear that many of the theory's main insights could not be clearly modeled.

Economic geography seems to have fared even worse, as economists shied away from grappling with questions about space - such as the size, location, or even existence of cities - because the ""terrain was seen as unsuitable for the tools at hand."" Krugman's book, however, is not a call to abandon economic modeling. He concludes with a reminder of why insisting on the use of models may be right, even when these sometimes lead economists to overlook good ideas."
9780262632034,0262632039,Inattentional Blindness,,Arien Mack;Irvin Rock,Psychology,http://books.google.com/books/content?id=STeqPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Arien Mack and Irvin Rock make the radical claim that there is no conscious perception of the visual world without attention to it.,2000.0,4.2,287.0,10.0,"Many people believe that merely by opening their eyes, they see everything in their field of view; in fact, a line of psychological research has been taken as evidence of the existence of so-called preattentional perception. In Inattentional Blindness, Arien Mack and Irvin Rock make the claim that there is no such thing - that there is no conscious perception of the visual world without attention to it.

The authors present a narrative chronicle of their research. Thus the reader follows the trail that led to the final conclusions, learning why initial hypotheses and explanations were discarded or revised, and how new questions arose along the way. The phenomenon of inattentional blindness has theoretical importance for cognitive psychologists studying perception, attention, and consciousness, as well as for philosophers and neuroscientists interested in the problem of consciousness."
9780262632553,0262632551,The Language of New Media,,Lev Manovich;Roger F. Malina;Sean Cubitt,Art,http://books.google.com/books/content?id=G-4EyYR-QgMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A stimulating, eclectic accountof new media that finds its origins in old media, particularly the cinema. In this book Lev Manovich offers the first systematic and rigorous theory of new media. He places new media within the histories of visual and media cultures of the last few centuries. He discusses new media's reliance on conventions of old media, such as the rectangular frame and mobile camera, and shows how new media works create the illusion of reality, address the viewer, and represent space. He also analyzes categories and forms unique to new media, such as interface and database. Manovich uses concepts from film theory, art history, literary theory, and computer science and also develops new theoretical constructs, such as cultural interface, spatial montage, and cinegratography. The theory and history of cinema play a particularly important role in the book. Among other topics, Manovich discusses parallels between the histories of cinema and of new media, digital cinema, screen and montage in cinema and in new media, and historical ties between avant-garde film and new media.",2001.0,3.85,354.0,798.0,"""In this book Lev Manovich offers the first systematic and rigorous theory of new media. He places new media within the histories of visual and media cultures of the last few centuries. He discusses new media's reliance on conventions of old media, such as the rectangular frame and mobile camera, and shows how new media works create the illusion of reality, address the viewer, and represent space. He also analyzes categories and forms unique to new media, such as interface and database.""--Book cover."
9780262680936,0262680939,"Turtles, Termites, and Traffic Jams",Explorations in Massively Parallel Microworlds,Mitchel Resnick,Computers,http://books.google.com/books/content?id=K8P1rX8T4kYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"""A Bradford book."" Includes bibliographical references (p. [157]-163).",1997.0,3.85,184.0,126.0,"""A Bradford book."" Includes bibliographical references (p. [157]-163)."
9780262740159,026274015X,Looking Awry,An Introduction to Jacques Lacan Through Popular Culture,Slavoj Žižek,Performing Arts,http://books.google.com/books/content?id=COT8nZsi6zYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Slavoj Zizek, a leading intellectual in the new social movements that are sweepingEastern Europe, provides a virtuoso reading of Jacques Lacan. Zizek inverts current pedagogicalstrategies to explain the difficult philosophical underpinnings of the French theoretician andpractician who revolutionized our view of psychoanalysis. He approaches Lacan through the motifs andworks of contemporary popular culture, from Hitchcock's Vertigo to Stephen King's Pet Sematary, fromMcCullough's An Indecent Obsession to Romero's Return of the Living Dead - a strategy of ""lookingawry"" that recalls the exhilarating and vital experience of Lacan.Zizek discovers fundamentalLacanian categories the triad Imaginary/Symbolic/Real, the object small a, the opposition of driveand desire, the split subject - at work in horror fiction, in detective thrillers, in romances, inthe mass media's perception of ecological crisis, and, above all, in Alfred Hitchcock's films. Theplayfulness of Zizek's text, however, is entirely different from that associated with thedeconstructive approach made famous by Derrida. By clarifying what Lacan is saying as well as whathe is not saying, Zizek is uniquely able to distinguish Lacan from the poststructuralists who sooften claim him.Slavoj Zizek is a Researcher in the Institute of Sociology at the University ofLjubljana, Yugoslavia. His work has been published in France and in Yugoslavia where, running as aproreform candidate, he narrowly missed being elected to the presidency of the republic ofSlovenia.",1992.0,4.05,188.0,1276.0,
9780262740258,0262740257,The Puppet and the Dwarf,The Perverse Core of Christianity,Slavoj Žižek;Žižek;Stockholm Inst Of Transition Staff;Mladen Dolar;Alenka Zupancic,Philosophy,http://books.google.com/books/content?id=jf4IPcBVKdMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of our most daring intellectuals offers a Lacanian interpretation of religion, finding that early Christianity was the first revolutionary collective. Slavoj Zizek has been called ""an academic rock star"" and ""the wild man of theory""; his writing mixes astonishing erudition and references to pop culture in order to dissect current intellectual pieties. In The Puppet and the Dwarf he offers a close reading of today's religious constellation from the viewpoint of Lacanian psychoanalysis. He critically confronts both predominant versions of today's spirituality--New Age gnosticism and deconstructionist-Levinasian Judaism--and then tries to redeem the ""materialist"" kernel of Christianity. His reading of Christianity is explicitly political, discerning in the Pauline community of believers the first version of a revolutionary collective. Since today even advocates of Enlightenment like Jurgen Habermas acknowledge that a religious vision is needed to ground our ethical and political stance in a ""postsecular"" age, this book--with a stance that is clearly materialist and at the same time indebted to the core of the Christian legacy--is certain to stir controversy.",2003.0,3.83,196.0,617.0,"""In The Puppet and the Dwarf Slavoj Zizek offers a close reading of today's religious constellation from the viewpoint of Lacanian psychoanalysis. He critically confronts both predominant versions of today's spirituality - New Age gnosticism and deconstructionist-Levinasian Judaism - and then tries to redeem the ""materialist"" kernel of Christianity. His reading of Christianity is explicitly political, discerning in the Pauline community of believers the first version of a revolutionary collective. Since today even advocates of Enlightenment like Jurgen Habermas acknowledge that a religious vision is needed to ground our ethical and political stance in a ""postsecular"" age, this book - with a stance that is clearly materialist and at the same time indebted to the core of the Christian legacy - is certain to stir controversy.""--Jacket."
9780268018498,0268018499,Treatise on Happiness,,Saint Thomas (Aquinas);Thomas Aquinas,Philosophy,http://books.google.com/books/content?id=MQh9QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Treatise on Happiness and the accompanying Treatise on Human Acts comprise the first twenty-one questions of I-II of the Summa Theologiae. From his careful consideration of what true happiness is, to his comprehensive discussion of how it can be attained, St. Thomas Aquinas offers a challenging and classic statement of the goals of human life, both ultimate and proximate. This translation presents in accurate, consistent, contemporary English the great Christian thinker's enduring contributions on the subject of man's happiness.",1983.0,3.84,224.0,73.0,
9780273661948,0273661949,Marketing and the Bottom Line,The Marketing Metrics to Pump Up Cash Flow,Tim Ambler,Business & Economics,http://books.google.com/books/content?id=qeVE8r4ugzsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Marketing and the bottom line sets out to change this. Based an extensive and original research involving world-beating companies such as 3M, Accenture, British Airways, Diageo and McDonald's, this book analyzes the impact that marketing has on the financial well-being of a company. Viewing marketing as a strategic board-level function, Ambler sets out a new generation of marketing metrics designed to make marketing more accountable for what it does, what it spends and what it earns.",2003.0,3.82,336.0,17.0,
9780273704744,0273704745,"Traders, Guns & Money",Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,Business & Economics,http://books.google.com/books/content?id=QLw2sjBuF9oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Derivatives. Warren Buffett once called them 'financial weapons of mass destruction.' Unlike some WMDs, however, derivatives are easy to find: nowadays, thousands of companies use them to make money and protect against risk. But most derivatives buyers simply don't understand what they're dealing with and sellers are in no rush to enlighten them. This book will! Traders, Guns and Money is a sensational first-person expose of the derivatives business, straight from one of the industry's most widely-known experts. Satyajit Das has operated for decades on both the ""buy"" and ""sell"" side, and authored some of the field's leading references. Now, he's written the first no-holds-barred insider's guide To The real derivatives business.",2006.0,3.83,334.0,1398.0,
9780275942694,0275942694,The Heights of Courage,A Tank Leader's War on the Golan,Avigdor Kahalani,History,http://books.google.com/books/content?id=7aIXJkFzqe8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In October 1973, the State of Israel was invaded by Egyptian and Syrian forces. Despite early losses, Israel managed to outfight its opponents. The brief and bloody Yom Kippur War stands as a unique chapter in modern military history. Fought primarily by tank units, the war became a story not only of battle strategy and tactics, but also one of human discipline, endurance and sacrifice. Avigdor Kahalani was commander of a tank battalion on the Golan Heights during the Yom Kippur War, in The Heights of Courage he describes this experience. Beginning with a description of the initial Syrian offensive, the author recounts the personal endeavours of the men in his battalion, their fears and ambitions, as well as their emotional and physical hardships. His account traces the efforts of the Israel Armoured Corps as they struggled to overcome extreme difficulties and setbacks in the field, and he describes their ultimate penetration into enemy territory.",1992.0,4.18,234.0,97.0,
9780275991166,0275991164,C. S. Lewis,"Life, Works, and Legacy",Bruce L. Edwards,Literary Criticism,http://books.google.com/books/content?id=mAL6V-aM7KkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Examines the life and works of the British author and scholar, best known for his creation of ""The Chronicles of Narnia"" series.",2007.0,4.43,1416.0,6.0,"This is a series of books which have a common theme: the understanding of Christ, and therefore the revelation of God, in the work of C. S. Lewis. These books are a systematic study of Lewis's theology, Christology and doctrine of revelation; as such they draw on his life and work."
9780285633148,0285633147,The Lost World of Agharti,The Mystery of Vril Power,Alec Maclellan,"Body, Mind & Spirit",http://books.google.com/books/content?id=zcfiLwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"For centuries, into our time, people have sought to discover the truth of the ancient legend of a hidden subterranean kingdom linked to every continent by a vast network of tunnels and passageways. The people who inhabit this utopia are said to have lived in seclusion for untold aeons, guarding the secret Vril Power by which man and nature can be controlled. This remarkable book records the findings of the many explorers who have sought to learn the truth and attempts to trace the course of the tunnels leading to Agharti.",1996.0,3.79,232.0,23.0,
9780285635944,0285635948,Zero,The Biography of a Dangerous Idea,Charles Seife,Zero (The number),http://books.google.com/books/content?id=Yj1EPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A NEW YORK TIMES NOTABLE BOOKThe Babylonians invented it, the Greeks banned it, the Hindus worshipped it, and the Christian Church used it to fend off heretics. Today it's a timebomb ticking in the heart of astrophysics. For zero, infinity's twin, is not like other numbers. It is both nothing and everything.Zero has pitted East against West and faith against reason, and its intransigence persists in the dark core of a black hole and the brilliant flash of the Big Bang. Today, zero lies at the heart of one of the biggest scientific controversies of all time: the quest for a theory of everything. Within the concept of zero lies a philosophical and scientific history of humanity.Charles Seife's elegant and witty account takes us from Aristotle to superstring theory by way of Egyptian geometry, Kabbalism, Einstein, the Chandrasekhar limit and Stephen Hawking. Covering centuries of thought, it is a concise tour of a world of ideas, bound up in the simple notion of nothing.",2003.0,3.96,248.0,116.0,"xi, 166 p. : 18 x 21 cm"
9780285647473,0285647474,Zen Buddhism & Psychoanalysis,,Daisetz Teitaro Suzuki;Erich Fromm;Richard De Martino,Psychoanalysis and religion,http://books.google.com/books/content?id=wMEAJwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The key book in our quest for understanding of ourselves and our lives.What differences are there in Eastern and Western thought regarding the nature of the human mind and our role in the cosmos? How can Zen and psychoanalysis help us in our struggle to realise our full potential as human beings and members of society?Erich Fromm's seminal work among contemporary efforts to resolve our spiritual crisis results here in the great achievement of a language to reveal the contributions of Zen and psychoanalysis to our 'struggle to be fully born'. He shows how both can teach us in their different ways to live our lives rather than be 'lived by them'.D.T. Suzuki explains with profound and gentle wisdom how Western materialism and intellectualism contrast with the Eastern concept of acceptance as the basis of well-being for the 'whole man'. His illuminating discussion of the unconscious and the self shed fresh light on our understanding of our own nature.Combined with Richard De Martino's clear account of the psychology of Zen, these writings make up a work of brilliance and value that has much to help us in our quest for understanding.",1974.0,3.94,188.0,517.0,"Study combining aspects of religion and psychotherapy by leading psychoanalyst, an authority on Buddhism, and a student of Zen Buddhism in Japan."
9780285647879,0285647873,The Wanderer,,Knut Hamsun;Gunnvor Stallybrass,English fiction,http://books.google.com/books/content?id=RU1_QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It has always been a pleasure to me to watch the flowers and insects in their struggle to keep alive. When the sun was hot they would come to life again, and give themselves up for an hour or so to the old delight; the big, strong flies were just as much alive as in midsummer. There was a peculiar sort of earth-bug here that I had not seen before--little yellow things, no bigger than a small-type comma, yet they could jump several thousand times their own length. Think of the strength of such a body in proportion to its size! There is a tiny spider here with its hinder part like a pale yellow pearl.",2001.0,3.96,164.0,672.0,"Rollicking yarn, continued from ""The Adventurer"" following our hero (?) as he is captured by Turks, then rises to the heights of their empire. Historically accurate, and fun."
9780285648111,028564811X,Memoirs,,Pablo Neruda,"Poets, Chilean",http://books.google.com/books/content?id=hUViQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Pablo Neruda has been hailed as the greatest poet of the 20th century & was a Nobel laureat. In these memoirs he also recounts his distinguished career as a diplomat & politician, during which he came to know iconic figures including Gandhi, Che Guevara & Mao Tse Tung.",2004.0,4.21,378.0,1205.0,"The autobiography of the former primate of Hungary who was imprisoned for eight years by his nation's Communist government, freed during the 1956 Hungarian uprising, and who now, at eighty-three, ministers to exiled fellow countrymen throughout the world."
9780292701328,0292701322,Paso Del Norte,,Juan Rulfo,Fiction,http://books.google.com/books/content?id=nf_eDyxtbD0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A major figure in the history of post-Revolutionary literature in Mexico, Juan Rulfo received international acclaim for his brilliant short novel Pedro Páramo (1955) and his collection of short stories El llano en llamas (1953), translated as a collection here in English for the first time. In the transition of Mexican fiction from direct statements of nationalism and social protest to a concentration on cosmopolitanism, the works of Rulfo hold a unique position. These stories of a rural people caught in the play of natural forces are not simply an interior examination of the phenomena of their world; they are written for the larger purpose of showing the actions of humans in broad terms of reality.",1967.0,4.19,191.0,321.0,
9780292760288,0292760280,100 Love Sonnets,Cien sonetos de amor,Pablo Neruda,Poetry,http://books.google.com/books/content?id=imyWxbj-n2AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Poems explore the depths of the distinguished Chilean writer's love for his wife,1986.0,4.4,232.0,12284.0,
